epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,4705.98,0.69866,0.71215,1.2018,0.84285,0.7559,0.83934,0.68054,0.77477,0.9544,1.35852,0.000385597,0.000385597,0.000385597
92,4737.06,0.70712,0.71949,1.20828,0.84007,0.76174,0.83695,0.67036,0.77012,1.02378,1.33805,0.000381499,0.000381499,0.000381499
93,4767.96,0.69251,0.71326,1.19705,0.87591,0.77125,0.84262,0.66894,0.7937,1.00244,1.35554,0.000377384,0.000377384,0.000377384
94,4798.79,0.67865,0.70065,1.18447,0.84528,0.77483,0.8334,0.67303,0.74796,1.02072,1.30468,0.000373254,0.000373254,0.000373254
95,4829.61,0.6826,0.69923,1.19384,0.87749,0.73772,0.83616,0.65791,0.8002,0.95389,1.38266,0.000369109,0.000369109,0.000369109
96,4860.48,0.68542,0.71434,1.20056,0.85328,0.77583,0.84276,0.6626,0.8039,0.94911,1.36001,0.000364951,0.000364951,0.000364951
97,4891.51,0.67831,0.68545,1.18257,0.87205,0.7759,0.84685,0.67336,0.76302,0.94543,1.34518,0.000360779,0.000360779,0.000360779
98,4922.34,0.67735,0.69931,1.18228,0.80247,0.78795,0.83569,0.66365,0.80445,0.90922,1.36651,0.000356596,0.000356596,0.000356596
99,4953.31,0.69101,0.69856,1.18982,0.85727,0.78581,0.85214,0.68725,0.73942,0.91036,1.33545,0.000352401,0.000352401,0.000352401
100,4984.38,0.68733,0.69892,1.18311,0.82549,0.75511,0.83059,0.66144,0.80612,1.04335,1.36361,0.000348196,0.000348196,0.000348196
101,5015.31,0.68958,0.7298,1.19936,0.86559,0.75776,0.85088,0.66326,0.7732,0.94184,1.3398,0.000343981,0.000343981,0.000343981
102,5046.27,0.677,0.68986,1.18289,0.88683,0.77351,0.84723,0.67616,0.79036,0.96489,1.35025,0.000339758,0.000339758,0.000339758
103,5077.28,0.65362,0.65595,1.17214,0.86612,0.71206,0.83144,0.66986,0.76601,1.03553,1.33513,0.000335526,0.000335526,0.000335526
104,5108.33,0.68904,0.69136,1.20185,0.84961,0.76156,0.83849,0.65391,0.78694,1.06454,1.37132,0.000331288,0.000331288,0.000331288
105,5139.29,0.66978,0.6837,1.18326,0.81301,0.79637,0.83313,0.66196,0.75699,1.06267,1.32982,0.000327044,0.000327044,0.000327044
106,5170.24,0.65995,0.68598,1.17248,0.84506,0.79154,0.8311,0.6697,0.74718,0.97681,1.32129,0.000322795,0.000322795,0.000322795
107,5201.2,0.6595,0.6674,1.16741,0.88705,0.72644,0.82758,0.67063,0.7399,1.08122,1.30555,0.000318541,0.000318541,0.000318541
108,5232.87,0.65873,0.66812,1.16212,0.8118,0.78914,0.8251,0.65982,0.78901,1.01463,1.35745,0.000314284,0.000314284,0.000314284
109,5264.57,0.6646,0.68153,1.16363,0.82957,0.77278,0.81779,0.66265,0.75009,1.10295,1.31611,0.000310024,0.000310024,0.000310024
110,5296.16,0.66879,0.68262,1.18216,0.80797,0.773,0.82223,0.66761,0.75669,1.14085,1.33981,0.000305762,0.000305762,0.000305762
111,5327.83,0.64985,0.64629,1.16919,0.86225,0.75407,0.83837,0.67541,0.75473,1.03929,1.34082,0.0003015,0.0003015,0.0003015
112,5359.55,0.64477,0.66244,1.16123,0.82691,0.74748,0.81738,0.65335,0.76686,1.06378,1.33721,0.000297238,0.000297238,0.000297238
113,5391.27,0.65043,0.63752,1.1619,0.87763,0.74341,0.83682,0.67284,0.76769,1.09277,1.33646,0.000292976,0.000292976,0.000292976
114,5422.97,0.66107,0.65947,1.17575,0.84535,0.80818,0.8533,0.67989,0.77104,1.02968,1.33895,0.000288716,0.000288716,0.000288716
115,5454.66,0.64872,0.65518,1.1639,0.83579,0.78507,0.83805,0.68517,0.78318,1.13168,1.36235,0.000284459,0.000284459,0.000284459
116,5486.39,0.65032,0.65427,1.16209,0.83376,0.77675,0.83489,0.67611,0.78481,1.14601,1.36395,0.000280205,0.000280205,0.000280205
117,5518.08,0.66028,0.65342,1.16714,0.81243,0.77516,0.82868,0.68405,0.72946,1.05793,1.30263,0.000275956,0.000275956,0.000275956
118,5549.86,0.64468,0.6482,1.15221,0.80545,0.79787,0.8316,0.68183,0.73659,1.06015,1.30497,0.000271712,0.000271712,0.000271712
119,5581.43,0.65324,0.65034,1.15657,0.82868,0.79544,0.84276,0.6792,0.73767,1.10094,1.30846,0.000267474,0.000267474,0.000267474
120,5612.43,0.63906,0.63988,1.15405,0.86768,0.7571,0.83762,0.67713,0.74456,1.09685,1.325,0.000263242,0.000263242,0.000263242
121,5643.44,0.64985,0.64852,1.16502,0.88634,0.75242,0.84023,0.68774,0.73835,0.97131,1.30703,0.000259019,0.000259019,0.000259019
122,5674.72,0.64783,0.64436,1.16545,0.86097,0.78653,0.84941,0.68188,0.75421,1.04787,1.32097,0.000254804,0.000254804,0.000254804
123,5705.11,0.63242,0.6301,1.15078,0.83263,0.79269,0.84387,0.68203,0.73325,0.98018,1.30655,0.000250599,0.000250599,0.000250599
124,5735.34,0.61834,0.61052,1.15205,0.85808,0.76643,0.83724,0.68261,0.74341,1.0634,1.30927,0.000246404,0.000246404,0.000246404
125,5765.67,0.6441,0.64378,1.16292,0.88981,0.76019,0.84802,0.703,0.71424,0.98571,1.27917,0.000242221,0.000242221,0.000242221
126,5796.01,0.63529,0.64681,1.14498,0.81713,0.80084,0.83746,0.68321,0.73522,1.05408,1.31981,0.000238049,0.000238049,0.000238049
127,5826.21,0.63551,0.62938,1.15359,0.85605,0.79825,0.85044,0.69241,0.70927,0.99884,1.26848,0.000233891,0.000233891,0.000233891
128,5856.38,0.63038,0.61938,1.14862,0.8726,0.78564,0.85388,0.69899,0.72331,1.02146,1.29602,0.000229746,0.000229746,0.000229746
129,5886.44,0.61827,0.60763,1.13818,0.88516,0.78241,0.85462,0.70379,0.71603,1.01229,1.2653,0.000225616,0.000225616,0.000225616
130,5917.67,0.61534,0.60558,1.14724,0.86869,0.80565,0.86465,0.70505,0.73153,1.00271,1.29364,0.000221501,0.000221501,0.000221501
131,5949.34,0.61175,0.58824,1.13233,0.83078,0.82276,0.86035,0.70596,0.70633,0.97663,1.27798,0.000217403,0.000217403,0.000217403
132,5980.95,0.62238,0.61137,1.14964,0.86753,0.78667,0.86,0.69929,0.73604,1.07712,1.30513,0.000213322,0.000213322,0.000213322
133,6013.13,0.60839,0.59751,1.13064,0.88144,0.78752,0.86489,0.69832,0.74225,1.03721,1.33168,0.000209258,0.000209258,0.000209258
134,6044.94,0.60697,0.59873,1.14134,0.87806,0.80608,0.86435,0.70117,0.7332,0.90964,1.29406,0.000205214,0.000205214,0.000205214
135,6077.01,0.60738,0.61036,1.13305,0.87725,0.78575,0.86254,0.70073,0.69886,0.97333,1.29648,0.000201189,0.000201189,0.000201189
136,6109.23,0.61692,0.60084,1.14034,0.89119,0.76894,0.86608,0.69348,0.72423,0.9373,1.30886,0.000197185,0.000197185,0.000197185
137,6141.32,0.61201,0.58471,1.12594,0.89867,0.7825,0.86826,0.70312,0.71917,0.92797,1.28496,0.000193202,0.000193202,0.000193202
138,6173.31,0.61487,0.59795,1.13608,0.86497,0.80153,0.85376,0.69876,0.72724,0.91406,1.30151,0.000189241,0.000189241,0.000189241
139,6205.43,0.59659,0.57514,1.12518,0.92467,0.76362,0.86484,0.70591,0.72935,0.89096,1.31569,0.000185303,0.000185303,0.000185303
140,6236.15,0.6238,0.60267,1.14347,0.87907,0.78887,0.86455,0.69948,0.70682,0.91573,1.30188,0.000181388,0.000181388,0.000181388
141,6267.19,0.60114,0.57484,1.13441,0.90809,0.75799,0.85663,0.69844,0.70251,0.91926,1.28647,0.000177499,0.000177499,0.000177499
142,6298.62,0.59302,0.57699,1.12054,0.88686,0.80743,0.86117,0.69949,0.70912,0.92188,1.29143,0.000173634,0.000173634,0.000173634
143,6329.1,0.60013,0.5897,1.12605,0.86321,0.7942,0.85675,0.70206,0.6927,1.00096,1.29102,0.000169796,0.000169796,0.000169796
144,6359.36,0.59074,0.57449,1.12633,0.90025,0.78798,0.85251,0.70444,0.69352,1.01338,1.28752,0.000165984,0.000165984,0.000165984
145,6389.7,0.59832,0.57649,1.12366,0.87333,0.78647,0.84836,0.69352,0.72175,1.0295,1.312,0.0001622,0.0001622,0.0001622
146,6420.01,0.58673,0.5583,1.11236,0.89322,0.76533,0.84958,0.70276,0.67885,0.94412,1.28167,0.000158444,0.000158444,0.000158444
147,6450.35,0.58084,0.56375,1.11531,0.8683,0.79616,0.84907,0.69908,0.6908,1.02195,1.29171,0.000154718,0.000154718,0.000154718
148,6480.85,0.59326,0.55238,1.11309,0.89727,0.80791,0.85922,0.70097,0.70426,1.01175,1.29994,0.000151021,0.000151021,0.000151021
149,6511.26,0.59025,0.57191,1.11654,0.88837,0.79836,0.85511,0.69891,0.70585,0.99914,1.28854,0.000147355,0.000147355,0.000147355
150,6541.65,0.57266,0.55217,1.11363,0.86317,0.79704,0.85412,0.69251,0.71017,0.99218,1.28256,0.000143721,0.000143721,0.000143721
151,6572.13,0.58397,0.56219,1.11475,0.83583,0.80248,0.8494,0.70044,0.68822,0.96037,1.26879,0.000140119,0.000140119,0.000140119
152,6602.68,0.58348,0.55647,1.11308,0.90157,0.77599,0.85554,0.69843,0.69377,0.99421,1.28118,0.000136549,0.000136549,0.000136549
153,6633.32,0.59519,0.58569,1.12248,0.8722,0.77483,0.85223,0.69894,0.70132,0.97064,1.29056,0.000133014,0.000133014,0.000133014
154,6663.75,0.58342,0.56324,1.11256,0.88732,0.77194,0.85515,0.69727,0.70283,0.97847,1.28666,0.000129512,0.000129512,0.000129512
155,6694.32,0.58578,0.55536,1.11802,0.91214,0.75622,0.85203,0.70066,0.68289,0.93955,1.25867,0.000126046,0.000126046,0.000126046
156,6724.66,0.5769,0.56005,1.11142,0.91548,0.76614,0.85516,0.70168,0.68355,0.87893,1.26215,0.000122616,0.000122616,0.000122616
157,6755.08,0.5653,0.53513,1.10178,0.84941,0.8081,0.85733,0.70085,0.70237,0.89117,1.29417,0.000119222,0.000119222,0.000119222
158,6785.51,0.56241,0.52711,1.09439,0.87793,0.78187,0.86275,0.70893,0.67955,0.93551,1.27321,0.000115865,0.000115865,0.000115865
159,6816.29,0.56546,0.52847,1.10436,0.88664,0.78191,0.86226,0.70666,0.68264,0.95426,1.2825,0.000112546,0.000112546,0.000112546
160,6853.62,0.5768,0.56809,1.11115,0.86406,0.80998,0.85794,0.71134,0.67379,0.95396,1.28537,0.000109265,0.000109265,0.000109265
161,6907.61,0.5588,0.52104,1.10561,0.895,0.79743,0.86527,0.70864,0.69214,0.94106,1.29806,0.000106024,0.000106024,0.000106024
162,6966.08,0.59152,0.5561,1.11361,0.86971,0.81557,0.86004,0.71323,0.70628,0.94685,1.30083,0.000102823,0.000102823,0.000102823
163,7030.29,0.5724,0.55219,1.10754,0.90898,0.78282,0.86686,0.70965,0.70096,0.93577,1.28137,9.96618e-05,9.96618e-05,9.96618e-05
164,7095.73,0.56112,0.55393,1.10842,0.8795,0.77979,0.85812,0.70551,0.69809,0.93618,1.29677,9.65421e-05,9.65421e-05,9.65421e-05
165,7152.8,0.57096,0.55401,1.11289,0.89131,0.77365,0.86159,0.70858,0.70573,0.93243,1.29913,9.34641e-05,9.34641e-05,9.34641e-05
166,7196.13,0.5611,0.52377,1.09246,0.86549,0.80635,0.86265,0.7123,0.67104,0.93963,1.27717,9.04286e-05,9.04286e-05,9.04286e-05
167,7331.65,0.56478,0.53947,1.10181,0.91085,0.77929,0.85913,0.70948,0.67624,0.93495,1.26685,8.74362e-05,8.74362e-05,8.74362e-05
168,7377.12,0.56683,0.5206,1.10489,0.89146,0.78295,0.86029,0.71133,0.67711,0.91019,1.26369,8.44873e-05,8.44873e-05,8.44873e-05
169,7455.55,0.56098,0.53276,1.10599,0.89559,0.77635,0.858,0.70991,0.68283,0.92712,1.26852,8.15828e-05,8.15828e-05,8.15828e-05
170,7506.61,0.55242,0.51842,1.09681,0.88579,0.78335,0.86006,0.70419,0.69104,0.912,1.26604,7.8723e-05,7.8723e-05,7.8723e-05
171,7554.64,0.55724,0.53103,1.09047,0.90109,0.77808,0.85711,0.70852,0.68863,0.96289,1.26779,7.59088e-05,7.59088e-05,7.59088e-05
172,7624.61,0.55111,0.52651,1.09035,0.91452,0.77753,0.85999,0.70781,0.67724,0.96169,1.26558,7.31405e-05,7.31405e-05,7.31405e-05
173,7675.89,0.56255,0.55303,1.09826,0.91571,0.77575,0.86545,0.71013,0.67436,0.93449,1.26175,7.04187e-05,7.04187e-05,7.04187e-05
174,7707.97,0.55086,0.52674,1.08327,0.90705,0.77413,0.86562,0.71523,0.65885,0.96057,1.25152,6.77441e-05,6.77441e-05,6.77441e-05
175,7742.79,0.55395,0.52766,1.09149,0.87821,0.79487,0.86375,0.71392,0.67413,0.95699,1.26006,6.51172e-05,6.51172e-05,6.51172e-05
176,7788.84,0.55153,0.53771,1.1019,0.88079,0.79987,0.86124,0.71863,0.65279,0.9515,1.24369,6.25384e-05,6.25384e-05,6.25384e-05
177,7841.12,0.55147,0.515,1.08582,0.89121,0.79392,0.86153,0.71718,0.6647,0.91128,1.25227,6.00084e-05,6.00084e-05,6.00084e-05
178,7877.78,0.55115,0.52549,1.0954,0.9012,0.79352,0.86708,0.72058,0.67039,0.9116,1.25886,5.75277e-05,5.75277e-05,5.75277e-05
179,7938.94,0.55024,0.52404,1.09312,0.89723,0.79349,0.86601,0.71917,0.65643,0.93034,1.24523,5.50966e-05,5.50966e-05,5.50966e-05
